概率论与数理统计,专业类基础课,4,90,4,0.01783686470018031
计算机组成与系统结构,专业核心课,5,88,3.7,0.004275301373703577
操作系统,专业核心课,5,85,3.7,0.004275301373703577
网络营销学,专业方向课,3,71,2,-0.05821018062397343
项目实践,科研训练与综合性实践教学环节,2,70,2,-0.038350236646382374
大学英语A六级,通识教育必修课,3,77,2.7,-0.03321018062397352
马克思主义基本原理,通识教育必修课,3,87,3.7,0.002504105090312514
管理学,专业类基础课,3,91,4,0.013218390804597746
西方经济学,专业类基础课,4,94,4,0.01783686470018031
数字逻辑,专业类基础课,4,94,4,0.01783686470018031
数据结构与算法B,专业核心课,5,87,3.7,0.004275301373703577
大学英语A五级,通识教育必修课,3,82,3.3,-0.01178160919540261
中国近现代史纲要,通识教育必修课,3,90,4,0.013218390804597746
高等数学A2,专业类基础课,6,85,3.7,0.005193699446572886
线性代数,专业类基础课,3,91,4,0.013218390804597746
C++程序设计,专业核心课,4,90,4,0.01783686470018031
编程实践,科研训练与综合性实践教学环节,2,90,4,0.008708586883029223
大学写作,通识教育必修课,2,92,4,0.008708586883029223
大学英语A四级,通识教育必修课,3,93,4,0.013218390804597746
铸牢中华民族共同体意识,通识教育必修课,2,89,3.7,0.0016497633536172174
高等数学A1,专业类基础课,6,79,3,-0.04665815240527893
新生研讨课,专业类基础课,1,90,4,0.004303662122427276
程序设计基础B,专业类基础课,5,89,3.7,0.004275301373703577
大学英语A三级,通识教育必修课,3,90,4,0.013218390804597746
思想道德与法治,通识教育必修课,3,86,3.7,0.002504105090312514
