概率论与数理统计,专业类基础课,4,98,4,0.005234633179114212
软件工程概论,专业核心课,2,87,3.7,-0.004339403332042302
计算机组成与系统结构,专业核心课,5,99,4,0.006621187800962769
数据库原理与应用A,专业核心课,5,86,3.7,-0.011235955056180025
项目实践,科研训练与综合性实践教学环节,2,92,4,0.002557148392095865
大学英语A六级,通识教育必修课,3,85,3.7,-0.006584792265481809
马克思主义基本原理,通识教育必修课,3,84,3.3,-0.020538280637575568
离散数学,专业类基础课,4,98,4,0.005234633179114212
数字逻辑,专业类基础课,4,98,4,0.005234633179114212
数据结构与算法A,专业核心课,6,98,4,0.008041153377555066
大学英语A五级,通识教育必修课,3,83,3.3,-0.020538280637575568
中国近现代史纲要,通识教育必修课,3,96,4,0.0038803240135876216
高等数学A2,专业类基础课,6,96,4,0.008041153377555066
线性代数,专业类基础课,3,85,3.7,-0.006584792265481809
大学物理C,专业类基础课,4,90,4,0.005234633179114212
C++程序设计,专业核心课,4,94,4,0.005234633179114212
编程实践,科研训练与综合性实践教学环节,2,94,4,0.002557148392095865
大学写作,通识教育必修课,2,90,4,0.002557148392095865
大学英语A四级,通识教育必修课,3,93,4,0.0038803240135876216
铸牢中华民族共同体意识,通识教育必修课,2,92,4,0.002557148392095865
高等数学A1,专业类基础课,6,94,4,0.008041153377555066
新生研讨课,专业类基础课,1,96,4,0.0012640449438201529
程序设计基础A,专业类基础课,6,94,4,0.008041153377555066
大学英语A三级,通识教育必修课,3,89,3.7,-0.006584792265481809
思想道德与法治,通识教育必修课,3,87,3.7,-0.006584792265481809
