概率论与数理统计,专业类基础课,4,93,4,0.012796011632737692
计算机组成与系统结构,专业核心课,5,96,4,0.01619007569386044
操作系统,专业核心课,5,90,4,0.01619007569386044
网络营销学,专业方向课,3,87,3.7,-0.0012315270935960854
项目实践,科研训练与综合性实践教学环节,2,95,4,0.006247464503042366
大学英语A六级,通识教育必修课,3,76,2.7,-0.03694581280788167
马克思主义基本原理,通识教育必修课,3,86,3.7,-0.0012315270935960854
管理学,专业类基础课,3,86,3.7,-0.0012315270935960854
西方经济学,专业类基础课,4,92,4,0.012796011632737692
数字逻辑,专业类基础课,4,98,4,0.012796011632737692
数据结构与算法B,专业核心课,5,92,4,0.01619007569386044
大学英语A五级,通识教育必修课,3,74,2.3,-0.05123152709359635
中国近现代史纲要,通识教育必修课,3,80,3,-0.026231527093595997
高等数学A2,专业类基础课,6,91,4,0.019667943805874888
线性代数,专业类基础课,3,82,3.3,-0.015517241379310764
C++程序设计,专业核心课,4,91,4,0.012796011632737692
编程实践,科研训练与综合性实践教学环节,2,95,4,0.006247464503042366
大学写作,通识教育必修课,2,89,3.7,-0.0008113590263696402
大学英语A四级,通识教育必修课,3,87,3.7,-0.0012315270935960854
铸牢中华民族共同体意识,通识教育必修课,2,89,3.7,-0.0008113590263696402
高等数学A1,专业类基础课,6,86,3.7,-0.0025542784163476995
新生研讨课,专业类基础课,1,92,4,0.0030874097834803216
程序设计基础B,专业类基础课,5,86,3.7,-0.002102607232969067
大学英语A三级,通识教育必修课,3,88,3.7,-0.0012315270935960854
思想道德与法治,通识教育必修课,3,93,4,0.00948275862068959
