概率论与数理统计,专业类基础课,4,82,3.3,5.287508261719864E-05
软件工程概论,专业核心课,2,72,2.3,-0.022962675965387813
计算机组成与系统结构,专业核心课,5,89,3.7,0.023876404494381998
数据库原理与应用A,专业核心课,5,77,2.7,-0.03564740502942776
项目实践,科研训练与综合性实践教学环节,2,93,4,0.016117783804726837
大学英语B四级,通识教育必修课,3,85,3.7,0.013992683564149733
马克思主义基本原理,通识教育必修课,3,73,2.3,-0.034844525738176646
离散数学,专业类基础课,4,87,3.7,0.018876404494382104
数字逻辑,专业类基础课,4,91,4,0.03299405155320523
数据结构与算法A,专业核心课,6,89,3.7,0.028996886422092416
大学英语B三级,通识教育必修课,3,84,3.3,3.9195192055974104E-05
中国近现代史纲要,通识教育必修课,3,92,4,0.024457799843219163
高等数学A2,专业类基础课,6,71,2,-0.0938946798429674
线性代数,专业类基础课,3,79,3,-0.010425921087013457
大学物理C,专业类基础课,4,90,4,0.03299405155320523
C++程序设计,专业核心课,4,73,2.3,-0.04700594844679484
编程实践,科研训练与综合性实践教学环节,2,73,2.3,-0.022962675965387813
大学写作,通识教育必修课,2,84,3.3,2.582978173837347E-05
大学英语B二级,通识教育必修课,3,81,3,-0.010425921087013457
铸牢中华民族共同体意识,通识教育必修课,2,90,4,0.016117783804726837
高等数学A1,专业类基础课,6,91,4,0.05068363341004467
新生研讨课,专业类基础课,1,88,3.7,0.0045582226761999856
程序设计基础A,专业类基础课,6,84,3.3,8.122377149044624E-05
大学英语B一级,通识教育必修课,3,88,3.7,0.013992683564149733
思想道德与法治,通识教育必修课,3,83,3.3,3.9195192055974104E-05
